"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"Deluxe Encyclopedia of Mandolin Chords","","John Baxter","Music","http://books.google.com/books/content?id=9TAe6DVyjZgC&printsec=frontcover&img=1&zoom=1&source=gbs_api","This encyclopedia is designed to provide mandolin players with a wide variety of chords in different voicings. This book is intended as both a starting point of learning chord voicings and patterns, as well as a dictionary of common mandolin chords. Each key section includes the first position scale for that key, as well as the chord formula and notes for each chord. If you want to learn to be a bluegrass rhythm player it helps to have a guide or 'map' to take you through the initial learning stage. This book provides a small but powerful set of starter chords used in this style of music. Once these chords are learned, you'll be able to jam with other musicians in no time. These are the same chords used by greats like Bill Monroe, Doyle Lawson, David Grisman and hundreds of other bluegrass players in this genre. While there are only a few chords presented in the ""map"" section, they form the foundation of bluegrass mandolin and with them you can play literally thousands of songs in every key. Chords are presented by key.","2000","3.83","72","This encyclopedia is designed to provide mandolin players with a wide variety of chords in different voicings. This book is intended as both a starting point of learning chord voicings and patterns, a"
"Ghost in the Shell","","Masamune Shirow","","http://books.google.com/books/content?id=9tMePwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Deep into the 21st century, the line between man and machine has been inexorably blurred. In this rapidly converging landscape, cyborg super-agent Major Motoko Kusanagi is charged to track down the most dangerous terrorists and cybercriminals, including ""ghost hackers,"" capable of exploiting the human/machine interface by reprogramming human minds to become puppets to carry out their criminal ends.","2006","4.18","368","Deep into the 21st century, the line between man and machine has been inexorably blurred. In this rapidly converging landscape, cyborg super-agent Major Motoko Kusanagi is charged to track down the mo"
"The Sword and the Shield","The Mitrokhin Archive and the Secret History of the KGB","Christopher Andrew;Vasili Mitrokhin","History","http://books.google.com/books/content?id=9TWUAQ7Xof8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","A fascinating description of a treasure trove of secret documents found by the FBI offers facts about every country in the world, as well as information that contributes to the history of the last century. Reprint. 60,000 first printing.","1999","3.93","736","A fascinating description of a treasure trove of secret documents found by the FBI offers facts about every country in the world, as well as information that contributes to the history of the last cen"
"La chartreuse de Parme","Apprendre l' anglais en lisant","Jm Stendhal","Fiction","http://books.google.com/books/content?id=9tysDhB2VMAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Follows the adventures of young Fabrizio del Dongo as he joins Napoleon's army just before the Battle of Waterloo, and struggles to keep hidden his love for Clelia amid the intrigues and secrets of the small court of Parma.","1999","3.82","560","Follows the adventures of young Fabrizio del Dongo as he joins Napoleon's army just before the Battle of Waterloo, and struggles to keep hidden his love for Clelia amid the intrigues and secrets of th"
"eBay For Dummies","","Marsha Collier","Business & Economics","http://books.google.com/books/content?id=9VIhmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Thinking about buying or selling items on eBay? Whether you want to use eBay to make smart bids and win auctions or turn household clutter into cash, eBay for Dummies, Fifth Edition is your passport to the most successful trading community on the planet. Beginning with an overview of what eBay is and how to become a registered user, eBay for Dummies helps you discover how you can: Search for items to buy and list items to sell on eBay Place a bidâ€”and determine how much you should spend Use pictures and basic HTML to make your eBay listings more appealing Communicate well and close deals without a problem Identify auction terms (reserve price, starting bid, Buy It Now, etc.) Organize your transactions and interactions using the My eBay page Resolve buying and selling issues with eBayâ€™s Trust & Safety program And much more! Registering at eBay makes you part of a really unique community of people who like to collect, buy, and sell items of just about every kind! So if youâ€™re ready to join the millions of people who use their home computers to make great deals, buy cool stuff, and turn a profit, eBay for Dummies does all the legwork so you can sit back and let the bidding begin!","2006","3.5","386","Thinking about buying or selling items on eBay? Whether you want to use eBay to make smart bids and win auctions or turn household clutter into cash, eBay for Dummies, Fifth Edition is your passport t"
"Replay","","Ken Grimwood","Fantasy","http://books.google.com/books/content?id=9vmNPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","At forty-three Jeff Winston is tired of his low-paid, unrewarding job, tired of the long silences at the breakfast table with his wife, saddened by the thought of no children to comfort his old age. But he hopes for better things, for happiness, maybe tomorrow . . . But a sudden, fatal heart attack puts paid to that. Until Jeff wakes up in his eighteen-year-old body, all his memories of the next twenty-five years intact. If he applies those memories, he can be rich in this new chance at life and can become one of the most powerful men in America. Until he dies at forty-three and wakes up in his eighteen-year-old body again . . .","2005","4.16","272","At forty-three Jeff Winston is tired of his low-paid, unrewarding job, tired of the long silences at the breakfast table with his wife, saddened by the thought of no children to comfort his old age. B"
"The Cambridge Companion to Jane Austen","","John O. Jordan","Literary Criticism","http://books.google.com/books/content?id=9vxqRs9L9MoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Presents a guide to Jane Austen's work in the context of her contemporary world","1997","4.08","251","Presents a guide to Jane Austen's work in the context of her contemporary world"
"The Complete Monty Python's Flying Circus","All the Words","Graham Chapman;Monty Python (Comedy troupe);Terry Gilliam;Eric Idle;Terry Jones","Humor","http://books.google.com/books/content?id=9vZzgf3V7qAC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Presents the complete scripts of the Monty Python television series, first shown on BBC televison from 1969 to 1974","1989","4.44","384","Presents the complete scripts of the Monty Python television series, first shown on BBC televison from 1969 to 1974"
"The South Beach Diet","The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss","Arthur Agatston","Health & Fitness","http://books.google.com/books/content?id=9Wk8AQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A renowned cardiologist discusses the importance of understanding the glycemic index values of foods and presents a weight-loss program that includes meal plans and recipes.","2003","3.44","310","A renowned cardiologist discusses the importance of understanding the glycemic index values of foods and presents a weight-loss program that includes meal plans and recipes."
"The Handbook (The Encheiridion)","","Epictetus;Nicholas P. White","Philosophy","http://books.google.com/books/content?id=9WRzxtTBkPgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","From the Introduction: ""Stoic philosophy, of which Epictetus (c. a.d. 50-130) is a representative, began as a recognizable movement around 300 b.c. Its founder was Zeno of Cytium (not to be confused with Zeno of Elea, who discovered the famous paradoxes). He was born in Cyprus about 336 b.c., but all of his philosophical activity took place in Athens. For more than 500 years Stoicism was one of the most influential and fruitful philosophical movements in the Graeco-Roman world. The works of the earlier Stoics survive only in fragmentary quotations from other authors, but from the Renaissance until well into the nineteenth century, Stoic ethical thought was one of the most important ancient influences on European ethics, particularly because of the descriptions of it by Cicero, through surviving works by the Stoics Seneca, Marcus Aurelius, and also Epictetus--and also because of the effect that it had had in antiquity, and continued to have into the nineteenth century, on Christian ethical views. Nowadays an undergraduate or graduate student learning about ancient philosophy in a university course may well hear only about Plato and Aristotle, along perhaps with the presocratics; but in the history of Western thought and education this situation is somewhat atypical, and in most periods a comparable student would have learned as much or more about Stoicism, as well as two other major ancient philosophical movements, Epicureanism and Scepticism. In spite of this lack of explicit acquaintance with Stoic philosophers and their works, however, most students will recognize in Epictetus various ideas that are familiar through their effects on other thinkers, notably Spinoza, in our intellectual tradition.""","1983","4.22","35","From the Introduction: ""Stoic philosophy, of which Epictetus (c. a.d. 50-130) is a representative, began as a recognizable movement around 300 b.c. Its founder was Zeno of Cytium (not to be confused w"
